기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액
2022,고양시,60대,남,506794,8495782111,3059,73093415,16764
2022,고양시,60대,여,485796,9126193545,4074,109756371,18786
2022,고양시,70대,남,101185,1760391119,685,17621520,17398
2022,고양시,70대,여,122957,2275372605,1064,26843705,18505
2022,고양시,80대,남,20950,380602248,150,3921643,18167
2022,고양시,80대,여,27119,488813806,213,5876738,18025
2022,고양시,10대,여,159040,3492809704,1049,46868647,21962
2022,고양시,10대,남,167208,3342598621,861,36732465,19991
2022,고양시,20대,여,942628,15885507714,7759,211730972,16852
2022,고양시,20대,남,887348,12984370099,5576,132507814,14633
2022,고양시,30대,남,901579,17688334245,5954,215269658,19619
2022,고양시,30대,여,1273713,28361244741,9967,411758256,22267
2022,고양시,40대,남,1475638,36792833945,9247,396130247,24934
2022,고양시,40대,여,2179411,52351658891,15794,609260186,24021
2022,고양시,50대,남,1152717,22133348202,6347,196913949,19201
2022,고양시,50대,여,1337157,25093804933,10154,279251275,18767
2022,고양시,60대,남,506794,8495782111,3059,73093415,16764
2022,고양시,60대,여,485796,9126193545,4074,109756371,18786
2022,고양시,70대,남,101185,1760391119,685,17621520,17398
2022,고양시,70대,여,122957,2275372605,1064,26843705,18505
2022,고양시,80대,남,20950,380602248,150,3921643,18167
2022,고양시,80대,여,27119,488813806,213,5876738,18025
2021,과천시,10대,남,27796,658285251,191,9227596,23683
2021,과천시,10대,여,25118,575219541,187,7065360,22901
2021,과천시,20대,남,121184,1999126503,953,42148133,16497
2021,과천시,20대,여,115843,2157410384,1023,38344679,18624
2021,과천시,30대,남,137209,2797145532,1487,102382640,20386
2021,과천시,30대,여,195432,4260758776,1928,91731063,21802
2021,과천시,40대,남,213371,5484405434,1991,113204283,25704
2021,과천시,40대,여,318752,7807448665,2811,124135086,24494
2021,과천시,50대,남,163884,3672607003,1661,75866072,22410
2021,과천시,50대,여,234044,5070268245,2473,93578437,21664
2021,과천시,60대,남,86227,1655301834,857,39144266,19197
2021,과천시,60대,여,100652,2142234642,1369,53376643,21284
2021,과천시,70대,남,18981,369274296,193,7250784,19455
2021,과천시,70대,여,26301,554588235,339,1106214,21086
2021,과천시,80대,여,7148,136961499,75,1804249,19161
2021,과천시,NA,남,1005,23365283,16,828136,23249
2021,과천시,NA,여,161393,3749229390,1917,72067724,23230
2021,과천시,30대,여,195432,4260758776,1928,91731063,21802
2021,과천시,80대,남,5033,109870055,78,2814592,21830
2021,과천시,10대,남,27796,658285251,191,9227596,23683
2021,과천시,80대,남,5033,109870055,78,2814592,21830
2021,과천시,40대,여,318752,7807448665,2811,124135086,24494
2021,과천시,20대,여,115843,2157410384,1023,38344679,18624
2021,과천시,20대,여,115843,2157410384,1023,38344679,18624
2022,과천시,40대,남,255397,6669592685,1827,94662166,26115
2021,과천시,70대,남,18981,369274296,193,7250784,19455
2021,과천시,20대,여,115843,2157410384,1023,38344679,18624
2021,과천시,80대,여,7148,136961499,75,1804249,19161
2021,과천시,20대,남,121184,1999126503,953,42148133,16497
2021,과천시,50대,남,163884,3672607003,1661,75866072,22410
2021,과천시,10대,여,25118,575219541,187,7065360,22901
2021,과천시,20대,남,121184,1999126503,953,42148133,16497
2021,과천시,20대,여,115843,2157410384,1023,38344679,18624
2021,과천시,30대,남,137209,2797145532,1487,102382640,20386
2021,과천시,30대,여,195432,4260758776,1928,91731063,21802
2021,과천시,40대,남,213371,5484405434,1991,113204283,25704
2021,과천시,40대,여,318752,7807448665,2811,124135086,24494
2021,과천시,50대,남,163884,3672607003,1661,75866072,22410
2021,과천시,50대,여,234044,5070268245,2473,93578437,21664
2021,과천시,60대,남,86227,1655301834,857,39144266,19197
2021,과천시,60대,여,100652,2142234642,1369,53376643,21284
2021,과천시,70대,남,18981,369274296,193,7250784,19455
2021,과천시,70대,여,26301,554588235,339,1106214,21086
2021,과천시,80대,여,7148,136961499,75,1804249,19161
2021,과천시,NA,남,1005,23365283,16,828136,23249
2021,과천시,NA,여,161393,3749229390,1917,72067724,23230
2021,과천시,10대,남,27796,658285251,191,9227596,23683
2021,과천시,10대,여,25118,575219541,187,7065360,22901
2021,과천시,20대,남,121184,1999126503,953,42148133,16497
2021,과천시,20대,여,115843,2157410384,1023,38344679,18624
2021,과천시,30대,남,137209,2797145532,1487,102382640,20386
2021,과천시,30대,여,195432,4260758776,1928,91731063,21802
2021,과천시,40대,남,213371,5484405434,1991,113204283,25704
2021,과천시,50대,남,163884,3672607003,1661,75866072,22410
2021,과천시,50대,여,234044,5070268245,2473,93578437,21664
2021,과천시,60대,남,86227,1655301834,857,39144266,19197
2021,과천시,60대,여,100652,2142234642,1369,53376643,21284
2021,과천시,70대,남,18981,369274296,193,7250784,19455
2021,과천시,70대,여,26301,554588235,339,1106214,21086
2021,과천시,80대,남,5033,109870055,78,2814592,21830
2021,과천시,80대,여,7148,136961499,75,1804249,19161
2021,과천시,NA,남,1005,23365283,16,828136,23249
2021,과천시,NA,여,161393,3749229390,1917,72067724,23230
2021,과천시,10대,남,27796,658285251,191,9227596,23683
2021,과천시,10대,여,25118,575219541,187,7065360,22901
2021,과천시,20대,남,121184,1999126503,953,42148133,16497
2021,과천시,30대,남,137209,2797145532,1487,102382640,20386
2021,과천시,30대,여,195432,4260758776,1928,91731063,21802
2021,과천시,40대,남,213371,5484405434,1991,113204283,25704
2021,과천시,40대,여,318752,7807448665,2811,124135086,24494
2021,과천시,50대,여,234044,5070268245,2473,93578437,21664
2021,과천시,60대,남,86227,1655301834,857,39144266,19197
2021,과천시,60대,여,100652,2142234642,1369,53376643,21284
2021,과천시,70대,남,18981,369274296,193,7250784,19455
2021,과천시,70대,여,26301,554588235,339,1106214,21086
2021,과천시,80대,여,7148,136961499,75,1804249,19161
2021,과천시,NA,남,1005,23365283,16,828136,23249
2021,과천시,NA,여,161393,3749229390,1917,72067724,23230
2021,과천시,10대,남,27796,658285251,191,9227596,23683
2021,과천시,10대,여,25118,575219541,187,7065360,22901
2021,과천시,20대,남,121184,1999126503,953,42148133,16497
2021,과천시,30대,남,137209,2797145532,1487,102382640,20386
2021,과천시,30대,여,195432,4260758776,1928,91731063,21802
2021,과천시,40대,남,213371,5484405434,1991,113204283,25704
2021,과천시,40대,여,318752,7807448665,2811,124135086,24494
2021,과천시,50대,남,163884,3672607003,1661,75866072,22410
2021,과천시,50대,여,234044,5070268245,2473,93578437,21664
2021,과천시,60대,남,86227,1655301834,857,39144266,19197
2021,과천시,60대,여,100652,2142234642,1369,53376643,21284
2021,과천시,70대,남,18981,369274296,193,7250784,19455
2021,과천시,70대,여,26301,554588235,339,1106214,21086
2021,과천시,80대,남,5033,109870055,78,2814592,21830
2021,과천시,80대,여,7148,136961499,75,1804249,19161
2021,과천시,NA,남,1005,23365283,16,828136,23249
2021,과천시,NA,여,161393,3749229390,1917,72067724,23230
2021,과천시,50대,남,163884,3672607003,1661,75866072,22410
2021,과천시,80대,남,5033,109870055,78,2814592,21830
2022,과천시,10대,여,25645,651241370,164,10195132,25394
2022,과천시,10대,남,29199,657106436,169,10836299,22504
2022,과천시,20대,남,128685,1982058219,724,23331541,15402
2022,과천시,20대,여,128226,2230181921,914,28301735,17393
2022,과천시,30대,여,250512,5328032396,1899,82619255,21269
2022,과천시,30대,남,187286,3657332673,1396,78747481,19528
2022,과천시,40대,여,365158,8963535496,2728,117352440,24547
2022,과천시,50대,여,261278,5559722803,2139,74130178,21279
2022,과천시,50대,남,193881,4236419652,1319,61584807,21851
2022,과천시,60대,여,136291,2817261322,1375,45061977,20671
2022,과천시,60대,남,117096,2191324371,897,32203629,18714
2022,과천시,70대,여,33980,733646427,320,11713990,21591
